30, 0.0
31, 0.0
32, 0.0
33, 0.0
34, 0.0
35, 0.0
36, 0.0
37, 0.0
38, 0.0
39, 0.0
40, 0.0
41, 0.0
42, 0.0
43, 0.0
44, 0.0
45, 0.0
46, 0.0
47, 0.0
48, 0.0
49, 0.0
50, 0.0
51, 0.0
52, 0.0
53, 0.0
54, 0.0
55, 0.0
56, 0.0
57, 0.0
58, 0.0
59, 0.0
60, 0.0
61, 0.0
62, 0.0
63, 0.0
64, 0.0
65, 0.0
66, 0.0
67, 0.0
68, 0.0
69, 0.0
70, 0.0
71, 0.0
72, 0.0
73, 0.0
74, 0.0
75, 0.0
76, 0.0
77, 0.0
78, 0.0
79, 0.0
80, 0.0
81, 0.0
82, 0.0
83, 0.0
84, 0.0
85, 0.0
86, 0.0
87, 0.0
88, 0.0
89, 0.0
90, 0.0
91, 0.0
92, 0.0
93, 0.0
94, 0.0
95, 0.0
96, 0.0
97, 0.0
98, 0.0
99, 0.0
100, 0.0
101, 0.0
102, 0.0
103, 0.0
104, 0.0
105, 0.0
106, 0.0
107, 0.0
108, 0.0
109, 0.0
110, 0.0
111, 0.0
112, 0.0
113, 0.0
114, 0.0
115, 0.0
116, 0.0
117, 0.0
118, 0.0
119, 0.0
120, 0.0
121, 0.0
122.0, 0.0020321350516959128
123.0, 0.00021100099990467087
124.0, 0.0006811324388781429
125.0, 0.0026704199810374677
126.0, 0.009907782252108989
127.0, 0.01587423931313605
128.0, 0.021432294357791804
129.0, 0.03029459815437365
130.0, 0.0431613478945611
131.0, 0.056974958060200386
132.0, 0.06581015426832537
133.0, 0.06620622111047329
134.0, 0.05918512593688744
135.0, 0.04756809127649392
136.0, 0.036714575628881176
137.0, 0.03057493775889649
138.0, 0.03276911020095094
139.0, 0.038523353566171814
140.0, 0.049905737916338164
141.0, 0.0685403542891001
142.0, 0.0949448679850484
143.0, 0.12578901992968236
144.0, 0.14980443334394958
145.0, 0.16768406770352562
146.0, 0.1863051028827491
147.0, 0.2090097729902657
148.0, 0.23204086421781192
149.0, 0.25386874443860336
150.0, 0.2738808479584527
