30, 0.0
31, 0.0
32, 0.0
33, 0.0
34, 0.0
35, 0.0
36, 0.0
37, 0.0
38, 0.0
39, 0.0
40, 0.0
41, 0.0
42, 0.0
43, 0.0
44, 0.0
45, 0.0
46, 0.0
47, 0.0
48, 0.0
49, 0.0
50, 0.0
51, 0.0
52, 0.0
53, 0.0
54, 0.0
55, 0.0
56, 0.0
57, 0.0
58, 0.0
59, 0.0
60, 0.0
61, 0.0
62, 0.0
63, 0.0
64, 0.0
65, 0.0
66, 0.0
67, 0.0
68, 0.0
69, 0.0
70, 0.0
71, 0.0
72, 0.0
73, 0.0
74, 0.0
75, 0.0
76, 0.0
77, 0.0
78, 0.0
79, 0.0
80, 0.0
81, 0.0
82, 0.0
83, 0.0
84, 0.0
85, 0.0
86, 0.0
87, 0.0
88, 0.0
89, 0.0
90, 0.0
91, 0.0
92, 0.0
93, 0.0
94, 0.0
95, 0.0
96, 0.0
97, 0.0
98, 0.0
99, 0.0
100, 0.0
101, 0.0
102, 0.0
103, 0.0
104, 0.0
105, 0.0
106, 0.0
107, 0.0
108, 0.0
109, 0.0
110, 0.0
111, 0.0
112, 0.0
113, 0.0
114, 0.0
115, 0.0
116, 0.0
117, 0.0
118, 0.0
119, 0.0
120, 0.0
121, 0.0
122, 0.0
123, 0.0
124, 0.0
125.0, 0.0014795774934826657
126.0, 0.004397845065511744
127.0, 0.03996430790094416
128.0, 0.09293280748579269
129.0, 0.1704344319478542
130.0, 0.26342283799202665
131.0, 0.26670943481086773
132.0, 0.29756936991475963
133.0, 0.3356761942116431
134.0, 0.3229530808392348
135.0, 0.28264912458687746
136.0, 0.2732265820491586
137.0, 0.25450124631720566
138.0, 0.21214131959279398
139.0, 0.1765279169541068
140.0, 0.1532451790972975
141.0, 0.16345398093301003
142.0, 0.19765609931333988
143.0, 0.2449616962573052
144.0, 0.3295947526627903
145.0, 0.3824994475643844
146.0, 0.3998913289887567
147.0, 0.41631206374569535
148.0, 0.42504432343434384
149.0, 0.4150837012348869
150.0, 0.4082788404775777
151.0, 0.3937547109107874
